run,compile_ms,wall_ms,user_ms,sys_ms,exit_code,rss_kb
1,169,70,70,0,0,1588
2,168,60,60,0,0,1504
3,169,60,60,0,0,1460
4,169,60,60,0,0,1720
5,169,60,60,0,0,1720
6,169,60,60,0,0,1592
7,168,60,60,0,0,1496
8,168,60,60,0,0,1504
9,168,60,60,0,0,1504
10,169,60,60,0,0,1504
11,168,60,60,0,0,1456
12,160,50,50,0,0,1456
13,168,60,60,0,0,1508
14,169,60,60,0,0,1592
15,169,70,70,0,0,1460
16,168,60,60,0,0,1576
17,168,60,60,0,0,1592
18,169,70,70,0,0,1616
19,168,60,60,0,0,1456
20,169,60,60,0,0,1464
21,168,60,50,0,0,1496
22,169,60,60,0,0,1620
23,169,60,60,0,0,1616
24,169,60,60,0,0,1504
25,168,60,60,0,0,1576
26,168,60,60,0,0,1576
27,160,40,30,0,0,1508
28,157,30,30,0,0,1504
29,168,60,60,0,0,1464
30,168,60,60,0,0,1460
31,170,70,60,0,0,1720
32,168,70,60,0,0,1492
33,169,70,70,0,0,1616
34,168,60,60,0,0,1720
35,169,60,60,0,0,1620
36,169,60,60,0,0,1456
37,168,70,70,0,0,1496
38,169,60,60,0,0,1496
39,168,60,50,0,0,1720
40,160,40,40,0,0,1588
41,169,60,60,0,0,1576
42,169,60,60,0,0,1588
43,168,60,60,0,0,1592
44,169,60,60,0,0,1720
45,168,70,70,0,0,1464
46,168,60,60,0,0,1592
47,166,50,50,0,0,1616
48,169,60,60,0,0,1576
49,168,70,60,0,0,1452
50,169,60,60,0,0,1588
51,168,60,60,0,0,1508
52,168,60,60,0,0,1592
53,169,60,60,0,0,1452
54,168,60,60,0,0,1616
55,168,70,70,0,0,1508
56,168,70,60,0,0,1508
57,168,60,60,0,0,1456
58,169,70,60,0,0,1496
59,169,60,60,0,0,1496
60,169,60,60,0,0,1452
61,169,60,60,0,0,1504
62,169,60,60,0,0,1620
63,169,70,60,0,0,1592
64,168,60,60,0,0,1496
65,168,60,60,0,0,1504
66,169,60,60,0,0,1464
67,168,70,70,0,0,1460
68,168,60,60,0,0,1592
69,168,60,60,0,0,1496
70,168,60,60,0,0,1592
71,168,70,70,0,0,1460
72,168,60,60,0,0,1588
73,169,40,40,0,0,1456
74,168,60,60,0,0,1460
75,159,50,50,0,0,1496
76,169,70,60,0,0,1456
77,169,60,50,0,0,1576
78,168,70,70,0,0,1588
79,169,60,60,0,0,1616
80,169,70,60,0,0,1456
81,168,60,60,0,0,1504
82,168,60,60,0,0,1576
83,169,70,60,0,0,1508
84,169,50,50,0,0,1492
85,169,60,60,0,0,1576
86,168,60,60,0,0,1452
87,169,60,60,0,0,1720
88,169,70,70,0,0,1588
89,168,60,60,0,0,1620
90,160,30,30,0,0,1620
91,168,60,60,0,0,1592
92,168,60,60,0,0,1592
93,168,60,60,0,0,1496
94,168,50,50,0,0,1496
95,169,60,60,0,0,1576
96,169,60,60,0,0,1592
97,169,60,60,0,0,1456
98,168,50,50,0,0,1720
99,168,60,50,0,0,1616
100,168,70,60,0,0,1496
101,169,60,60,0,0,1504
102,169,70,70,0,0,1460
103,169,60,60,0,0,1460
104,168,60,50,0,0,1496
105,169,60,60,0,0,1508
106,168,70,70,0,0,1504
107,168,60,60,0,0,1464
108,168,60,60,0,0,1616
109,168,70,70,0,0,1504
110,169,60,60,0,0,1592
111,169,60,60,0,0,1576
112,168,70,60,0,0,1620
113,169,60,60,0,0,1576
114,164,50,50,0,0,1620
115,168,60,60,0,0,1452
116,168,60,60,0,0,1576
117,168,60,50,0,0,1456
118,168,70,60,0,0,1720
119,168,60,60,0,0,1592
120,168,60,60,0,0,1576
121,169,60,50,0,0,1464
122,157,30,30,0,0,1592
123,169,60,60,0,0,1460
124,168,60,60,0,0,1592
125,168,70,60,0,0,1592
126,169,60,60,0,0,1576
127,168,60,50,0,0,1464
128,170,60,60,0,0,1456
129,168,60,50,0,0,1456
130,168,60,60,0,0,1592
131,173,70,60,0,0,1504
132,168,60,60,0,0,1452
133,169,50,50,0,0,1592
134,161,50,50,0,0,1588
135,168,60,60,0,0,1592
136,169,60,60,0,0,1592
137,168,60,60,0,0,1620
138,168,60,60,0,0,1592
139,169,60,60,0,0,1464
140,169,60,50,0,0,1680
141,169,70,70,0,0,1508
142,168,70,60,0,0,1592
143,168,60,60,0,0,1456
144,170,70,60,0,0,1496
145,169,70,70,0,0,1588
146,168,50,50,0,0,1460
147,168,70,60,0,0,1556
148,168,60,60,0,0,1592
149,169,70,60,0,0,1592
150,168,70,70,0,0,1460
151,168,70,60,0,0,1508
152,160,30,30,0,0,1496
153,162,50,50,0,0,1504
154,169,60,60,0,0,1504
155,158,30,30,0,0,1588
156,159,30,30,0,0,1620
157,161,40,40,0,0,1496
158,169,50,50,0,0,1464
159,169,40,40,0,0,1616
160,168,50,50,0,0,1504
161,164,50,50,0,0,1452
162,163,40,40,0,0,1592
163,168,60,60,0,0,1588
164,168,60,60,0,0,1508
165,169,70,70,0,0,1576
166,169,70,70,0,0,1576
167,168,60,60,0,0,1464
168,168,60,60,0,0,1592
169,169,60,60,0,0,1592
170,168,60,60,0,0,1588
171,169,60,60,0,0,1620
172,159,30,30,0,0,1576
173,169,40,40,0,0,1616
174,169,50,50,0,0,1592
175,168,70,60,0,0,1460
176,169,70,60,0,0,1588
177,170,40,40,0,0,1592
178,169,60,60,0,0,1504
179,168,60,60,0,0,1460
180,168,70,70,0,0,1720
181,169,60,60,0,0,1496
182,168,60,60,0,0,1588
183,168,60,60,0,0,1504
184,159,40,40,0,0,1508
185,168,70,60,0,0,1496
186,168,70,60,0,0,1592
187,168,70,70,0,0,1720
188,169,60,60,0,0,1496
189,168,70,70,0,0,1504
190,168,70,70,0,0,1616
191,162,60,60,0,0,1496
192,168,70,70,0,0,1620
193,168,60,60,0,0,1616
194,168,60,60,0,0,1508
195,168,70,60,0,0,1588
196,168,70,70,0,0,1496
197,169,60,50,0,0,1592
198,162,60,50,0,0,1720
199,168,70,60,0,0,1460
200,169,60,60,0,0,1464
201,168,70,70,0,0,1460
202,168,70,70,0,0,1508
203,168,60,60,0,0,1452
204,168,70,70,0,0,1508
205,168,60,60,0,0,1588
206,170,70,60,0,0,1456
207,168,60,60,0,0,1592
208,168,70,60,0,0,1464
209,168,70,70,0,0,1576
210,169,60,60,0,0,1464
211,168,70,70,0,0,1556
212,169,60,60,0,0,1588
213,169,70,60,0,0,1460
214,169,60,60,0,0,1620
215,168,60,60,0,0,1496
216,169,70,60,0,0,1456
217,169,60,60,0,0,1460
218,168,70,60,0,0,1616
219,168,70,60,0,0,1588
220,168,70,70,0,0,1592
221,168,60,60,0,0,1448
222,169,60,60,0,0,1616
223,168,60,60,0,0,1576
224,169,60,60,0,0,1720
225,169,70,60,0,0,1592
226,169,70,70,0,0,1592
227,169,60,60,0,0,1620
228,168,60,60,0,0,1576
229,164,60,60,0,0,1620
230,169,70,60,0,0,1620
231,168,60,60,0,0,1576
232,168,70,70,0,0,1592
233,169,70,60,0,0,1720
234,168,60,60,0,0,1508
235,168,70,60,0,0,1456
236,168,60,60,0,0,1452
237,169,60,60,0,0,1592
238,169,60,60,0,0,1720
239,169,70,60,0,0,1576
240,169,60,60,0,0,1452
241,165,60,60,0,0,1464
242,168,60,60,0,0,1452
243,169,70,70,0,0,1496
244,169,60,60,0,0,1496
245,158,30,30,0,0,1616
246,158,30,30,0,0,1720
247,158,30,30,0,0,1616
248,168,60,60,0,0,1620
249,168,60,60,0,0,1576
250,168,70,70,0,0,1492
251,172,60,60,0,0,1512
252,168,70,60,0,0,1456
253,169,70,60,0,0,1504
254,168,60,60,0,0,1592
255,168,60,60,0,0,1460
256,165,40,40,0,0,1620
257,168,60,60,0,0,1592
258,169,70,70,0,0,1508
259,168,60,60,0,0,1452
260,168,70,70,0,0,1588
261,169,60,60,0,0,1496
262,169,70,70,0,0,1456
263,162,50,40,0,0,1616
264,168,60,60,0,0,1496
265,169,70,70,0,0,1720
266,168,60,60,0,0,1616
267,168,70,60,0,0,1620
268,165,60,60,0,0,1496
269,168,60,60,0,0,1452
270,169,60,60,0,0,1592
271,170,60,60,0,0,1592
272,169,60,50,0,0,1492
273,168,60,60,0,0,1592
274,168,70,70,0,0,1496
275,169,50,40,0,0,1592
276,168,60,50,0,0,1620
277,158,30,30,0,0,1500
278,169,70,60,0,0,1456
279,169,60,60,0,0,1592
280,169,60,50,0,0,1464
281,169,60,60,0,0,1592
282,168,60,60,0,0,1592
283,168,60,60,0,0,1592
284,168,60,60,0,0,1616
285,168,60,60,0,0,1592
286,168,60,60,0,0,1492
287,168,60,50,0,0,1576
288,169,40,40,0,0,1616
289,169,60,60,0,0,1592
290,168,60,60,0,0,1528
291,168,60,60,0,0,1720
292,168,70,60,0,0,1508
293,169,70,70,0,0,1456
294,168,60,60,0,0,1460
295,160,40,40,0,0,1616
296,158,30,30,0,0,1680
297,158,30,30,0,0,1620
298,169,60,50,0,0,1452
299,163,60,60,0,0,1508
300,161,50,50,0,0,1460
