run,compile_ms,wall_ms,user_ms,sys_ms,exit_code,rss_kb
1,61,30,30,0,0,1456
2,58,30,30,0,0,1620
3,58,30,30,0,0,1508
4,58,30,30,0,0,1456
5,58,30,30,0,0,1504
6,57,30,30,0,0,1592
7,57,30,30,0,0,1592
8,58,30,30,0,0,1588
9,57,30,30,0,0,1592
10,57,30,30,0,0,1460
11,56,30,30,0,0,1496
12,56,30,30,0,0,1496
13,56,30,30,0,0,1620
14,56,30,30,0,0,1456
15,57,30,30,0,0,1452
16,57,30,30,0,0,1592
17,57,30,30,0,0,1452
18,56,30,30,0,0,1720
19,56,30,30,0,0,1588
20,56,30,30,0,0,1496
21,57,30,30,0,0,1508
22,57,30,30,0,0,1616
23,56,30,30,0,0,1620
24,57,30,30,0,0,1496
25,56,30,30,0,0,1464
26,57,30,30,0,0,1508
27,57,30,30,0,0,1496
28,57,30,30,0,0,1592
29,57,30,30,0,0,1576
30,56,30,30,0,0,1720
31,56,30,30,0,0,1588
32,56,30,30,0,0,1576
33,57,30,30,0,0,1592
34,56,30,30,0,0,1508
35,56,30,30,0,0,1496
36,58,30,30,0,0,1576
37,57,30,30,0,0,1616
38,57,30,30,0,0,1576
39,59,30,30,0,0,1452
40,61,30,30,0,0,1460
41,61,30,30,0,0,1456
42,102,30,30,0,0,1496
43,76,30,20,0,0,1592
44,65,30,30,0,0,1720
45,57,30,30,0,0,1620
46,58,30,30,0,0,1720
47,61,30,30,0,0,1588
48,61,30,30,0,0,1464
49,57,30,30,0,0,1720
50,57,30,30,0,0,1592
51,57,30,30,0,0,1576
52,56,30,30,0,0,1592
53,57,30,30,0,0,1496
54,56,30,20,0,0,1616
55,57,30,30,0,0,1588
56,56,30,30,0,0,1592
57,57,30,30,0,0,1592
58,58,30,30,0,0,1620
59,58,30,30,0,0,1456
60,57,30,30,0,0,1556
61,58,30,30,0,0,1508
62,57,30,30,0,0,1620
63,56,30,30,0,0,1504
64,57,30,30,0,0,1720
65,57,30,30,0,0,1452
66,57,30,30,0,0,1616
67,56,30,30,0,0,1576
68,57,30,30,0,0,1508
69,56,30,30,0,0,1456
70,57,30,30,0,0,1456
71,57,30,30,0,0,1576
72,56,30,30,0,0,1464
73,56,30,30,0,0,1452
74,57,30,30,0,0,1508
75,56,30,30,0,0,1464
76,56,30,30,0,0,1496
77,57,30,30,0,0,1504
78,57,30,30,0,0,1592
79,56,30,30,0,0,1460
80,56,30,30,0,0,1592
81,56,30,30,0,0,1456
82,56,30,30,0,0,1460
83,56,30,30,0,0,1460
84,56,30,30,0,0,1464
85,57,30,30,0,0,1576
86,56,30,30,0,0,1592
87,56,30,30,0,0,1460
88,56,30,30,0,0,1456
89,57,30,30,0,0,1588
90,56,30,30,0,0,1452
91,57,30,30,0,0,1592
92,56,30,30,0,0,1592
93,56,30,30,0,0,1504
94,56,30,30,0,0,1504
95,56,30,20,0,0,1576
96,56,30,30,0,0,1592
97,56,30,30,0,0,1496
98,56,30,30,0,0,1504
99,57,30,30,0,0,1616
100,56,30,30,0,0,1460
101,56,30,30,0,0,1496
102,57,30,30,0,0,1576
103,56,30,30,0,0,1588
104,56,30,30,0,0,1592
105,56,30,30,0,0,1452
106,56,30,30,0,0,1576
107,56,30,30,0,0,1460
108,56,30,30,0,0,1496
109,56,30,30,0,0,1588
110,57,30,30,0,0,1508
111,57,30,20,0,0,1592
