run,compile_ms,wall_ms,user_ms,sys_ms,exit_code,rss_kb
1,158,30,30,0,0,1620
2,159,30,30,0,0,1496
3,159,30,30,0,0,1592
4,158,30,30,0,0,1504
5,158,30,30,0,0,1576
6,158,30,30,0,0,1456
7,158,30,30,0,0,1592
8,158,30,30,0,0,1616
9,167,40,40,0,0,1588
10,168,70,60,0,0,1556
11,168,60,60,0,0,1452
12,169,60,60,0,0,1592
13,169,50,50,0,0,1592
14,158,30,30,0,0,1576
15,169,60,50,0,0,1592
16,168,50,50,0,0,1452
17,168,60,60,0,0,1460
18,169,60,60,0,0,1576
19,168,60,60,0,0,1456
20,168,60,60,0,0,1452
21,163,50,50,0,0,1460
22,169,50,50,0,0,1720
23,162,50,50,0,0,1504
24,168,60,50,0,0,1592
25,169,50,50,0,0,1496
26,169,60,60,0,0,1508
27,168,60,60,0,0,1588
28,164,60,50,0,0,1616
29,162,50,50,0,0,1504
30,158,30,30,0,0,1592
31,158,30,30,0,0,1592
32,167,40,40,0,0,1616
33,161,40,40,0,0,1616
34,158,30,30,0,0,1460
35,168,50,50,0,0,1720
36,168,70,60,0,0,1592
37,169,60,50,0,0,1452
38,168,70,60,0,0,1592
39,168,60,60,0,0,1452
40,162,40,40,0,0,1496
41,170,50,50,0,0,1720
42,161,50,50,0,0,1588
43,161,50,40,0,0,1508
44,169,60,60,0,0,1508
45,168,60,60,0,0,1496
46,168,70,60,0,0,1464
47,168,60,60,0,0,1620
48,169,60,60,0,0,1592
49,164,40,30,0,0,1504
50,168,70,60,0,0,1620
51,168,70,70,0,0,1456
52,169,50,50,0,0,1460
53,168,60,60,0,0,1576
54,168,60,60,0,0,1504
55,169,60,60,0,0,1576
56,168,60,60,0,0,1508
57,162,50,50,0,0,1508
58,169,60,60,0,0,1456
59,168,70,60,0,0,1616
60,168,70,70,0,0,1460
61,168,60,60,0,0,1576
62,168,60,60,0,0,1508
63,168,60,60,0,0,1496
64,168,70,60,0,0,1508
65,169,60,60,0,0,1504
66,169,60,60,0,0,1588
67,169,70,60,0,0,1464
68,169,60,60,0,0,1460
69,168,70,60,0,0,1616
70,168,60,60,0,0,1460
71,168,70,70,0,0,1464
72,169,70,60,0,0,1592
73,168,70,60,0,0,1496
74,168,70,70,0,0,1452
75,168,60,60,0,0,1620
76,168,70,70,0,0,1508
77,168,60,60,0,0,1496
78,168,70,70,0,0,1452
79,168,60,50,0,0,1464
80,169,60,60,0,0,1456
81,168,60,60,0,0,1616
82,169,60,50,0,0,1456
83,168,60,60,0,0,1460
84,168,60,60,0,0,1496
85,168,60,60,0,0,1720
86,168,60,50,0,0,1496
87,169,60,60,0,0,1496
88,169,70,60,0,0,1592
89,169,70,70,0,0,1500
90,169,60,60,0,0,1620
91,168,50,50,0,0,1456
92,169,60,60,0,0,1516
93,169,60,60,0,0,1592
94,168,60,60,0,0,1616
95,168,60,60,0,0,1720
96,168,60,60,0,0,1504
97,168,60,60,0,0,1452
98,169,60,60,0,0,1504
99,169,60,60,0,0,1592
100,168,50,50,0,0,1592
101,169,60,60,0,0,1464
102,169,60,60,0,0,1592
103,168,60,60,0,0,1456
104,168,60,50,0,0,1496
105,168,60,60,0,0,1616
106,168,60,60,0,0,1496
107,169,60,60,0,0,1592
108,168,60,60,0,0,1592
109,169,70,60,0,0,1504
110,168,60,60,0,0,1452
111,169,70,60,0,0,1456
112,168,60,60,0,0,1592
113,169,60,60,0,0,1456
114,168,60,60,0,0,1496
115,169,60,60,0,0,1588
116,169,70,60,0,0,1720
117,168,60,60,0,0,1464
118,168,50,40,0,0,1464
119,169,60,60,0,0,1592
120,164,60,60,0,0,1576
121,168,60,60,0,0,1508
122,168,60,60,0,0,1592
123,168,60,60,0,0,1720
124,169,60,60,0,0,1496
125,168,60,60,0,0,1616
126,168,60,60,0,0,1592
127,168,60,60,0,0,1592
128,169,70,70,0,0,1460
