run,compile_ms,wall_ms,user_ms,sys_ms,exit_code,rss_kb
1,212,0,0,0,0,3660
2,214,0,0,0,0,3624
3,217,0,0,0,0,3620
4,211,0,0,0,0,3636
5,212,0,0,0,0,3668
6,214,0,0,0,0,3644
7,222,0,0,0,0,3676
8,217,0,0,0,0,3656
9,211,0,0,0,0,3652
10,214,0,0,0,0,3652
11,210,0,0,0,0,3644
12,218,0,0,0,0,3652
13,213,0,0,0,0,3656
14,214,0,0,0,0,3628
15,214,0,0,0,0,3660
16,213,0,0,0,0,3656
17,214,0,0,0,0,3652
18,215,0,0,0,0,3616
19,212,0,0,0,0,3652
20,212,0,0,0,0,3636
21,216,0,0,0,0,3524
22,217,0,0,0,0,3616
23,215,0,0,0,0,3628
24,212,0,0,0,0,3660
25,221,0,0,0,0,3668
26,214,0,0,0,0,3632
27,216,0,0,0,0,3636
28,212,0,0,0,0,3660
29,214,0,0,0,0,3644
30,215,0,0,0,0,3620
31,215,0,0,0,0,3524
32,213,0,0,0,0,3640
33,214,0,0,0,0,3628
34,214,0,0,0,0,3652
35,216,0,0,0,0,3628
36,215,0,0,0,0,3612
37,215,0,0,0,0,3636
38,217,0,0,0,0,3616
39,218,0,0,0,0,3644
40,211,0,0,0,0,3664
41,213,0,0,0,0,3656
42,215,0,0,0,0,3652
43,216,0,0,0,0,3628
44,218,0,0,0,0,3604
45,212,0,0,0,0,3628
46,217,0,0,0,0,3628
47,215,0,0,0,0,3636
48,215,0,0,0,0,3652
49,213,0,0,0,0,3624
50,212,0,0,0,0,3652
51,214,0,0,0,0,3628
52,214,0,0,0,0,3644
53,216,0,0,0,0,3676
54,215,0,0,0,0,3660
55,214,0,0,0,0,3636
56,216,0,0,0,0,3608
57,217,0,0,0,0,3628
58,214,0,0,0,0,3636
59,214,0,0,0,0,3616
60,215,0,0,0,0,3644
61,214,0,0,0,0,3524
62,216,0,0,0,0,3604
63,214,0,0,0,0,3664
64,213,0,0,0,0,3624
65,214,0,0,0,0,3628
66,214,0,0,0,0,3668
67,216,0,0,0,0,3652
68,214,0,0,0,0,3652
69,215,0,0,0,0,3640
70,214,0,0,0,0,3636
71,217,0,0,0,0,3632
72,214,0,0,0,0,3624
73,214,0,0,0,0,3628
74,211,0,0,0,0,3664
75,218,0,0,0,0,3612
76,215,0,0,0,0,3628
77,212,0,0,0,0,3648
78,215,0,0,0,0,3644
79,211,0,0,0,0,3612
80,216,0,0,0,0,3624
81,217,0,0,0,0,3636
82,213,0,0,0,0,3628
83,214,0,0,0,0,3660
84,216,0,0,0,0,3664
85,217,0,0,0,0,3644
86,222,0,0,0,0,3604
87,212,0,0,0,0,3520
88,212,0,0,0,0,3660
89,215,0,0,0,0,3520
90,221,0,0,0,0,3520
91,216,0,0,0,0,3628
92,215,0,0,0,0,3620
93,224,0,0,0,0,3628
94,221,0,0,0,0,3628
95,216,0,0,0,0,3628
96,212,0,0,0,0,3608
97,216,0,0,0,0,3520
98,214,0,0,0,0,3628
99,215,0,0,0,0,3652
100,215,0,0,0,0,3604
101,215,0,0,0,0,3636
102,214,0,0,0,0,3652
103,214,0,0,0,0,3628
104,218,0,0,0,0,3628
105,215,0,0,0,0,3648
106,217,0,0,0,0,3636
107,218,0,0,0,0,3636
108,221,0,0,0,0,3628
109,215,0,0,0,0,3676
110,213,0,0,0,0,3660
111,215,0,0,0,0,3660
112,212,0,0,0,0,3676
113,217,0,0,0,0,3624
114,215,0,0,0,0,3656
115,213,0,0,0,0,3636
116,217,0,0,0,0,3664
117,214,0,0,0,0,3636
118,212,0,0,0,0,3664
119,214,0,0,0,0,3664
120,213,0,0,0,0,3792
121,213,0,0,0,0,3652
122,212,0,0,0,0,3644
123,214,0,0,0,0,3624
124,216,0,0,0,0,3676
125,216,0,0,0,0,3664
126,217,0,0,0,0,3644
127,214,0,0,0,0,3624
128,212,0,0,0,0,3668
129,212,0,0,0,0,3640
130,215,0,0,0,0,3664
131,216,0,0,0,0,3520
